Parameter,Equipment,USEPA Approved Procedure,Units,CMC Code,Tier,Tier Justification,Analytical Method,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,NonfatalLowerRange,NonfatalUpperRange,CBP Method,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,,Holding Time,Sample Preservation
Alkalinity,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),EPA-NERL: 310.1,mg/L,ALKY.1,2,,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,500,257,4 mg/L,Unknown - testing needed,0-200+ mg/L,,< 0 mg/L; > 400 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,N/A,,24 hours,Cool; <= 6 deg C
Alkalinity,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),EPA-NERL: 310.1,mg/L,ALKY.3,p2,Historic dataset/not trained using CMC methods,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,500,257,,Unknown - testing needed,,,Unknown,,N/A,N/A,N/A,,,
Alkalinity,Titration Test Kit (ex. LaMotte 4491-DR-01; LaMotte 3467-01; LaMotte 4533-DR-01),EPA-NERL: 310.1,mg/L,ALKY.5,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; not tested in replicate,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,500,257,4 mg/L,Unknown - testing needed,0-200+ mg/L,,N/A,,N/A,,N/A,,N/A,N/A
Alkalinity,"Field Colorimeter (ex. Hanna HI 775 Digital Checker, Colorimeter)",See CMC Methods Manual,mg/L,ALKY.2,2,"Standardization, >10% field reps",Probe,Water,FALSE,TRUE,FALSE,TRUE,0,500,999,1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,< 0 mg/L; > 400 mg/L,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,HI775-11 Alkalinity Checker HC Calibration Check Set,,24 hours,Cool; <= deg C
Alkalinity,"Field Colorimeter (ex. Hanna HI 775 Digital Checker, Colorimeter)",See CMC Methods Manual,mg/L,ALKY.6,p2,Historic dataset/not trained using CMC methods,Probe,Water,FALSE,TRUE,FALSE,TRUE,0,500,999,1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,QA unknown,,N/A,,N/A,,N/A,N/A
Alkalinity,"Field Colorimeter or spectrophotometer (ex. Hanna HI 775 Digital Checker, Colorimeter, Hach)",See CMC Methods Manual,mg/L,ALKY.4,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; not tested in replicate,Probe,Water,FALSE,TRUE,FALSE,TRUE,0,500,999,1 mg/L,+- 5%; 5 mg/L,0 - 500 mg/L,,N/A,,N/A,,N/A,,N/A,N/A
Air Temperature,Armored Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,AT.1,2,"Verified against NIST verified thermometer, >10% field reps",Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.5 deg C,1 deg C,-5 - 45 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer reads approximate air temperature; armored case is intact; no gaps in liquid column,Annually,NIST Verified thermometer,,N/A,N/A
Air Temperature,Armored Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,AT.10,p1,Historic dataset,Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.5 deg C,1 deg C,-5 - 45 deg C,,N/A,,,N/A,Not standardized,,N/A,N/A
Air Temperature,Armored Thermometer (ex. LaMotte 1066),USEPA Method 170.1,deg C,AT.4,1,"Not verified against NIST Thermometer, <10% field reps",Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.5 deg C,1 deg C,-5 - 45 deg C,,N/A,,N/A,,N/A,,N/A,N/A
Air Temperature,Digital Thermometer (Ex. Hanna 98509),USEPA Method 170.1,deg C,AT.2,2,"Verified against NIST verified thermometer, >10% field reps",Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.1 deg C,+- 0.2 deg C,-50 - 150 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature. Metal stem is undamaged.,Annually,NIST Verified thermometer,,N/A,N/A
Air Temperature,Digital Thermometer (Ex. Hanna 98509),USEPA Method 170.1,deg C,AT.9,p2,Historic dataset/not trained using CMC methods,Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.1 deg C,+- 0.2 deg C,-50 - 150 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature. Metal stem is undamaged.,Annually,NIST Verified thermometer,,N/A,N/A
Air Temperature,Digital Thermometer (Ex. Hanna 98509),USEPA Method 170.1,deg C,AT.5,1,"Not verified against NIST Thermometer, <10% field reps",Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.1 deg C,+- 0.2 deg C,-50 - 150 deg C,,N/A,,N/A,,N/A,,N/A,N/A
